mode,month,dtrip,dtrip_y2,expansion_factor,draw
fh,10,5280.656799316406,5220.713470458984,.98864853,32
pr,10,78229.28051757813,79397.38146972656,1.0149318,32
sh,10,0,0,1,32
fh,11,737.7315216064453,741.9968948364258,1.0057818,32
pr,11,74358.1328125,61236.109375,.82352942,32
sh,11,0,0,1,32
fh,12,621.7897796630859,746.1477355957031,1.2,32
pr,12,0,0,1,32
sh,12,0,0,1,32
fh,1,0,0,1,33
pr,1,0,0,1,33
sh,1,0,0,1,33
fh,2,0,0,1,33
pr,2,0,0,1,33
sh,2,0,0,1,33
fh,3,0,0,1,33
pr,3,0,0,1,33
sh,3,0,0,1,33
fh,4,0,0,1,33
pr,4,5492.6162109375,5492.6162109375,1,33
sh,4,7032.618896484375,7032.618896484375,1,33
fh,5,617.5748291015625,661.6873168945313,1.0714285,33
pr,5,37710.50531005859,40073.32592773438,1.0626569,33
sh,5,36092.52709960938,36887.2392578125,1.0220188,33
fh,6,1203.519229888916,1191.342788696289,.98988265,33
pr,6,99089.10278320313,96810.2275390625,.97700179,33
sh,6,314378.6572265625,304334.966796875,.96805227,33
fh,7,3492.301742553711,3495.189392089844,1.0008268,33
pr,7,258849.89453125,257106.2294921875,.99326378,33
sh,7,131416.4753417969,132690.9604492188,1.009698,33
fh,8,2266.234252929688,2235.722003936768,.98653615,33
pr,8,248559.1469726563,253251.2646484375,1.0188773,33
sh,8,271695.65625,282028.6962890625,1.0380317,33
fh,9,846.514533996582,838.61354637146,.99066645,33
pr,9,141865.09375,135244.1163330078,.95332909,33
sh,9,53988.37158203125,51203.39569091797,.94841528,33
fh,10,3677.705657958984,3806.691970825195,1.0350724,33
pr,10,61820.83117675781,64975.20538330078,1.0510244,33
sh,10,14783.88818359375,15921.1103515625,1.0769231,33
fh,11,749.704610824585,750.7342185974121,1.0013734,33
pr,11,136975.9228515625,112803.701171875,.82352942,33
sh,11,0,0,1,33
fh,12,880.7114410400391,1056.853729248047,1.2,33
pr,12,0,0,1,33
sh,12,0,0,1,33
fh,1,0,0,1,34
pr,1,0,0,1,34
sh,1,0,0,1,34
fh,2,0,0,1,34
pr,2,0,0,1,34
sh,2,0,0,1,34
fh,3,0,0,1,34
pr,3,0,0,1,34
sh,3,0,0,1,34
fh,4,0,0,1,34
pr,4,13736.43896484375,13736.43896484375,1,34
sh,4,60.23706436157227,60.23706436157227,1,34
fh,5,2017.398303985596,2112.345092773438,1.0470639,34
pr,5,19811.73291015625,21226.85668945313,1.0714285,34
sh,5,9266.02229309082,9399.493011474609,1.0144043,34
fh,6,908.1120586395264,892.7708587646484,.98310649,34
pr,6,69785.68908691406,67365.84375,.96532464,34
sh,6,340582.4487304688,328696.4296875,.96510088,34
fh,7,2840.639991760254,2870.294235229492,1.0104393,34
pr,7,302646.689453125,300954.38671875,.99440831,34
sh,7,432495.6171875,413019.138671875,.9549672,34
fh,8,2458.085014343262,2428.931400299072,.98813969,34
pr,8,277309.7436523438,283893.7568359375,1.0237424,34
sh,8,174806.0512695313,182205.0439453125,1.0423269,34
fh,9,931.1332015991211,927.239070892334,.99581784,34
pr,9,170390.939453125,165466.9802246094,.971102,34
sh,9,42379.43994140625,40064.20230102539,.94536883,34
fh,10,6028.138031005859,6001.754028320313,.99562317,34
pr,10,74724.42504882813,76399.93579101563,1.0224226,34
sh,10,110228.6376953125,118707.763671875,1.0769231,34
fh,11,835.6314582824707,821.3386573791504,.98289579,34
pr,11,127436.7729492188,104947.9306640625,.82352942,34
sh,11,0,0,1,34
fh,12,679.3255233764648,815.1906280517578,1.2,34
pr,12,0,0,1,34
sh,12,0,0,1,34
fh,1,0,0,1,35
pr,1,0,0,1,35
sh,1,0,0,1,35
fh,2,0,0,1,35
pr,2,0,0,1,35
sh,2,0,0,1,35
fh,3,0,0,1,35
pr,3,0,0,1,35
sh,3,0,0,1,35
fh,4,0,0,1,35
pr,4,6308.542236328125,6308.542236328125,1,35
sh,4,7004.416259765625,7004.416259765625,1,35
fh,5,1447.714101791382,1483.00707244873,1.0243784,35
pr,5,29293.70101928711,31056.05187988281,1.0601615,35
sh,5,23364.98260498047,23939.43664550781,1.0245861,35
fh,6,769.2280054092407,747.3626861572266,.97157496,35
pr,6,82474.52819824219,80901.830078125,.9809311,35
sh,6,286461.416015625,276311.400390625,.9645676,35
fh,7,2797.90648651123,2857.80396270752,1.021408,35
pr,7,295690.4873046875,300135.0576171875,1.0150311,35
sh,7,386413.408203125,371928.56640625,.96251464,35
fh,8,1488.758781433105,1491.683837890625,1.0019648,35
